team1,team2,venue,toss_winner,toss_decision,winner
Delhi Capitals,Punjab Kings,M. Chinnaswamy Stadium,Punjab Kings,bat,Delhi Capitals
Gujarat Titans,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,field,Gujarat Titans
Punjab Kings,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Punjab Kings,field,Lucknow Super Giants
Mumbai Indians,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,Delhi Capitals
Rajasthan Royals,Gujarat Titans,Wankhede Stadium,Rajasthan Royals,field,Gujarat Titans
Lucknow Super Giants,Punjab Kings,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Delhi Capitals,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,Punjab Kings
Gujarat Titans,Delhi Capitals,Rajiv Gandhi Intl. Stadium,Delhi Capitals,field,Delhi Capitals
Royal Challengers Bangalore,Delhi Capitals,Rajiv Gandhi Intl. Stadium,Delhi Capitals,field,Royal Challengers Bangalore
Lucknow Super Giants,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,bat,Lucknow Super Giants
Rajasthan Royals,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Mumbai Indians,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Delhi Capitals,Mumbai Indians,Ekana Cricket Stadium,Delhi Capitals,bat,Delhi Capitals
Royal Challengers Bangalore,Lucknow Super Giants,Ekana Cricket Stadium,Lucknow Super Giants,bat,Royal Challengers Bangalore
Sunrisers Hyderabad,Rajasthan Royals,HPCA Stadium,Rajasthan Royals,field,Sunrisers Hyderabad
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Rajasthan Royals,field,Delhi Capitals
Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,Punjab Kings,field,Sunrisers Hyderabad
Punjab Kings,Lucknow Super Giants,Arun Jaitley Stadium,Punjab Kings,bat,Lucknow Super Giants
Lucknow Super Giants,Sunrisers Hyderabad,Narendra Modi Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Chennai Super Kings,Gujarat Titans,M. A. Chidambaram Stadium,Gujarat Titans,bat,Chennai Super Kings
Delhi Capitals,Rajasthan Royals,HPCA Stadium,Delhi Capitals,field,Rajasthan Royals
Mumbai Indians,Royal Challengers Bangalore,Sawai Mansingh Stadium,Mumbai Indians,field,Royal Challengers Bangalore
Lucknow Super Giants,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Rajasthan Royals
Sunrisers Hyderabad,Rajasthan Royals,M. A. Chidambaram Stadium,Rajasthan Royals,bat,Rajasthan Royals
Kolkata Knight Riders,Delhi Capitals,Narendra Modi Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Lucknow Super Giants,Chennai Super Kings,Narendra Modi Stadium,Chennai Super Kings,bat,Chennai Super Kings
Gujarat Titans,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Gujarat Titans,bat,Gujarat Titans
Punjab Kings,Rajasthan Royals,Ekana Cricket Stadium,Rajasthan Royals,field,Punjab Kings
Sunrisers Hyderabad,Lucknow Super Giants,Narendra Modi Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Gujarat Titans,Kolkata Knight Riders,M. A. Chidambaram Stadium,Kolkata Knight Riders,field,Gujarat Titans
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,Royal Challengers Bangalore,bat,Rajasthan Royals
Kolkata Knight Riders,Rajasthan Royals,Rajiv Gandhi Intl. Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Rajasthan Royals,Gujarat Titans,Wankhede Stadium,Gujarat Titans,field,Gujarat Titans
Rajasthan Royals,Sunrisers Hyderabad,Ekana Cricket Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Rajasthan Royals,Lucknow Super Giants,Ekana Cricket Stadium,Lucknow Super Giants,bat,Rajasthan Royals
Lucknow Super Giants,Sunrisers Hyderabad,Rajiv Gandhi Intl. Stadium,Lucknow Super Giants,bat,Sunrisers Hyderabad
Chennai Super Kings,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,field,Chennai Super Kings
Kolkata Knight Riders,Gujarat Titans,HPCA Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders
Mumbai Indians,Punjab Kings,M. A. Chidambaram Stadium,Mumbai Indians,field,Punjab Kings
Punjab Kings,Royal Challengers Bangalore,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,field,Punjab Kings
Kolkata Knight Riders,Royal Challengers Bangalore,HPCA Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Chennai Super Kings,Sunrisers Hyderabad,Arun Jaitley Stadium,Chennai Super Kings,bat,Chennai Super Kings
Gujarat Titans,Rajasthan Royals,Ekana Cricket Stadium,Rajasthan Royals,bat,Rajasthan Royals
Mumbai Indians,Sunrisers Hyderabad,Sawai Mansingh Stadium,Mumbai Indians,field,Mumbai Indians
Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Kolkata Knight Riders
Chennai Super Kings,Delhi Capitals,M. A. Chidambaram Stadium,Delhi Capitals,field,Delhi Capitals
Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,bat,Chennai Super Kings
Lucknow Super Giants,Chennai Super Kings,Arun Jaitley Stadium,Lucknow Super Giants,bat,Chennai Super Kings
Mumbai Indians,Lucknow Super Giants,Narendra Modi Stadium,Mumbai Indians,field,Lucknow Super Giants
Royal Challengers Bangalore,Rajasthan Royals,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Rajasthan Royals,Lucknow Super Giants,HPCA Stadium,Lucknow Super Giants,field,Rajasthan Royals
Royal Challengers Bangalore,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,Punjab Kings
Gujarat Titans,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Gujarat Titans,field,Gujarat Titans
Gujarat Titans,Mumbai Indians,Arun Jaitley Stadium,Gujarat Titans,field,Gujarat Titans
Punjab Kings,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Punjab Kings,Lucknow Super Giants,Ekana Cricket Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Mumbai Indians,Kolkata Knight Riders,HPCA Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,HPCA Stadium,Kolkata Knight Riders,field,Mumbai Indians
Chennai Super Kings,Delhi Capitals,Ekana Cricket Stadium,Chennai Super Kings,bat,Chennai Super Kings
Sunrisers Hyderabad,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Sunrisers Hyderabad
Punjab Kings,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Punjab Kings
Mumbai Indians,Delhi Capitals,M. Chinnaswamy Stadium,Mumbai Indians,bat,Delhi Capitals
Sunrisers Hyderabad,Kolkata Knight Riders,HPCA Stadium,Sunrisers Hyderabad,field,Kolkata Knight Riders
Gujarat Titans,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,bat,Gujarat Titans
Royal Challengers Bangalore,Lucknow Super Giants,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Royal Challengers Bangalore
Rajasthan Royals,Lucknow Super Giants,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Lucknow Super Giants
Gujarat Titans,Royal Challengers Bangalore,Narendra Modi Stadium,Gujarat Titans,field,Gujarat Titans
Punjab Kings,Gujarat Titans,M. Chinnaswamy Stadium,Punjab Kings,field,Punjab Kings
Delhi Capitals,Lucknow Super Giants,Arun Jaitley Stadium,Delhi Capitals,bat,Lucknow Super Giants
Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Royal Challengers Bangalore,Gujarat Titans,Wankhede Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Lucknow Super Giants,Punjab Kings,M. A. Chidambaram Stadium,Lucknow Super Giants,field,Punjab Kings
Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,field,Chennai Super Kings
Gujarat Titans,Sunrisers Hyderabad,Sawai Mansingh Stadium,Gujarat Titans,field,Sunrisers Hyderabad
Sunrisers Hyderabad,Gujarat Titans,Wankhede Stadium,Gujarat Titans,field,Sunrisers Hyderabad
Royal Challengers Bangalore,Kolkata Knight Riders,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Kolkata Knight Riders,Sunrisers Hyderabad,HPCA Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,M. A. Chidambaram Stadium,Rajasthan Royals,bat,Mumbai Indians
Kolkata Knight Riders,Delhi Capitals,Ekana Cricket Stadium,Delhi Capitals,bat,Delhi Capitals
Delhi Capitals,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,field,Punjab Kings
Mumbai Indians,Lucknow Super Giants,M. A. Chidambaram Stadium,Lucknow Super Giants,bat,Mumbai Indians
Kolkata Knight Riders,Royal Challengers Bangalore,Arun Jaitley Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Chennai Super Kings,Delhi Capitals,M. A. Chidambaram Stadium,Delhi Capitals,field,Delhi Capitals
Sunrisers Hyderabad,Gujarat Titans,Narendra Modi Stadium,Sunrisers Hyderabad,field,Gujarat Titans
Delhi Capitals,Kolkata Knight Riders,M. Chinnaswamy Stadium,Delhi Capitals,bat,Kolkata Knight Riders
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,Mumbai Indians
Delhi Capitals,Mumbai Indians,HPCA Stadium,Delhi Capitals,bat,Mumbai Indians
Sunrisers Hyderabad,Kolkata Knight Riders,Narendra Modi Stadium,Sunrisers Hyderabad,field,Kolkata Knight Riders
Lucknow Super Giants,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,Rajasthan Royals
Sunrisers Hyderabad,Mumbai Indians,Ekana Cricket Stadium,Mumbai Indians,field,Mumbai Indians
Gujarat Titans,Delhi Capitals,Wankhede Stadium,Delhi Capitals,field,Gujarat Titans
Punjab Kings,Gujarat Titans,Narendra Modi Stadium,Punjab Kings,field,Gujarat Titans
Sunrisers Hyderabad,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,bat,Delhi Capitals
Delhi Capitals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Delhi Capitals
Royal Challengers Bangalore,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Delhi Capitals,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Delhi Capitals,field,Sunrisers Hyderabad
Punjab Kings,Delhi Capitals,Narendra Modi Stadium,Delhi Capitals,bat,Delhi Capitals
Chennai Super Kings,Mumbai Indians,M. A. Chidambaram Stadium,Chennai Super Kings,field,Mumbai Indians
Sunrisers Hyderabad,Chennai Super Kings,Narendra Modi Stadium,Chennai Super Kings,bat,Chennai Super Kings
Punjab Kings,Kolkata Knight Riders,HPCA Stadium,Punjab Kings,bat,Punjab Kings
Delhi Capitals,Mumbai Indians,Arun Jaitley Stadium,Delhi Capitals,field,Delhi Capitals
Rajasthan Royals,Sunrisers Hyderabad,Narendra Modi Stadium,Rajasthan Royals,field,Sunrisers Hyderabad
Gujarat Titans,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians
Chennai Super Kings,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,bat,Chennai Super Kings
Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Kolkata Knight Riders,Mumbai Indians,Sawai Mansingh Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders
Rajasthan Royals,Lucknow Super Giants,Arun Jaitley Stadium,Rajasthan Royals,bat,Rajasthan Royals
Punjab Kings,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Lucknow Super Giants,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,field,Lucknow Super Giants
Kolkata Knight Riders,Sunrisers Hyderabad,HPCA Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Mumbai Indians,Delhi Capitals,Narendra Modi Stadium,Delhi Capitals,bat,Mumbai Indians
Lucknow Super Giants,Kolkata Knight Riders,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals
Gujarat Titans,Lucknow Super Giants,HPCA Stadium,Gujarat Titans,bat,Lucknow Super Giants
Sunrisers Hyderabad,Gujarat Titans,M. A. Chidambaram Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Punjab Kings,Gujarat Titans,Ekana Cricket Stadium,Gujarat Titans,field,Punjab Kings
Gujarat Titans,Delhi Capitals,M. Chinnaswamy Stadium,Gujarat Titans,field,Delhi Capitals
Rajasthan Royals,Kolkata Knight Riders,Rajiv Gandhi Intl. Stadium,Rajasthan Royals,field,Kolkata Knight Riders
Gujarat Titans,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Chennai Super Kings,Gujarat Titans,Wankhede Stadium,Chennai Super Kings,bat,Gujarat Titans
Kolkata Knight Riders,Mumbai Indians,Ekana Cricket Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Rajasthan Royals,Gujarat Titans,Eden Gardens,Gujarat Titans,field,Gujarat Titans
Gujarat Titans,Lucknow Super Giants,Narendra Modi Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Kolkata Knight Riders,Rajasthan Royals,M. A. Chidambaram Stadium,Rajasthan Royals,bat,Rajasthan Royals
Royal Challengers Bangalore,Delhi Capitals,M. A. Chidambaram Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Chennai Super Kings,Gujarat Titans,Arun Jaitley Stadium,Chennai Super Kings,field,Gujarat Titans
Delhi Capitals,Royal Challengers Bangalore,Narendra Modi Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Gujarat Titans,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Punjab Kings,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,Punjab Kings
Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,field,Sunrisers Hyderabad
Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,bat,Kolkata Knight Riders
Gujarat Titans,Sunrisers Hyderabad,Sawai Mansingh Stadium,Gujarat Titans,bat,Gujarat Titans
Mumbai Indians,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai Super Kings,bat,Chennai Super Kings
Punjab Kings,Rajasthan Royals,Rajiv Gandhi Intl. Stadium,Rajasthan Royals,field,Rajasthan Royals
Kolkata Knight Riders,Rajasthan Royals,M. A. Chidambaram Stadium,Rajasthan Royals,field,Rajasthan Royals
Punjab Kings,Rajasthan Royals,Eden Gardens,Punjab Kings,bat,Rajasthan Royals
Royal Challengers Bangalore,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,bat,Lucknow Super Giants
Sunrisers Hyderabad,Punjab Kings,Narendra Modi Stadium,Punjab Kings,bat,Punjab Kings
Lucknow Super Giants,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,bat,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,Ekana Cricket Stadium,Mumbai Indians,bat,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,Narendra Modi Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,Rajasthan Royals,field,Royal Challengers Bangalore
Rajasthan Royals,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,HPCA Stadium,Chennai Super Kings,field,Rajasthan Royals
Rajasthan Royals,Punjab Kings,Rajiv Gandhi Intl. Stadium,Rajasthan Royals,field,Punjab Kings
Delhi Capitals,Gujarat Titans,Rajiv Gandhi Intl. Stadium,Delhi Capitals,field,Gujarat Titans
Lucknow Super Giants,Chennai Super Kings,Ekana Cricket Stadium,Chennai Super Kings,bat,Lucknow Super Giants
Lucknow Super Giants,Delhi Capitals,Rajiv Gandhi Intl. Stadium,Delhi Capitals,field,Lucknow Super Giants
Rajasthan Royals,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Rajasthan Royals,field,Rajasthan Royals
Lucknow Super Giants,Gujarat Titans,M. A. Chidambaram Stadium,Gujarat Titans,bat,Lucknow Super Giants
Punjab Kings,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,M. A. Chidambaram Stadium,Chennai Super Kings,field,Chennai Super Kings
Gujarat Titans,Kolkata Knight Riders,M. Chinnaswamy Stadium,Gujarat Titans,field,Kolkata Knight Riders
Kolkata Knight Riders,Punjab Kings,Arun Jaitley Stadium,Kolkata Knight Riders,field,Punjab Kings
Delhi Capitals,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians,bat,Delhi Capitals
Punjab Kings,Chennai Super Kings,Narendra Modi Stadium,Chennai Super Kings,bat,Chennai Super Kings
Gujarat Titans,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Kolkata Knight Riders,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,bat,Kolkata Knight Riders
Rajasthan Royals,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Mumbai Indians,Lucknow Super Giants,Ekana Cricket Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Mumbai Indians,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Sunrisers Hyderabad,bat,Chennai Super Kings
Rajasthan Royals,Chennai Super Kings,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Chennai Super Kings
Gujarat Titans,Rajasthan Royals,Rajiv Gandhi Intl. Stadium,Rajasthan Royals,field,Rajasthan Royals
Sunrisers Hyderabad,Kolkata Knight Riders,HPCA Stadium,Kolkata Knight Riders,bat,Sunrisers Hyderabad
Royal Challengers Bangalore,Kolkata Knight Riders,Sawai Mansingh Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Sunrisers Hyderabad,Delhi Capitals,Eden Gardens,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Chennai Super Kings,Royal Challengers Bangalore,Rajiv Gandhi Intl. Stadium,Chennai Super Kings,bat,Chennai Super Kings
Punjab Kings,Delhi Capitals,HPCA Stadium,Delhi Capitals,field,Punjab Kings
Lucknow Super Giants,Rajasthan Royals,Sawai Mansingh Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Delhi Capitals,Gujarat Titans,HPCA Stadium,Gujarat Titans,field,Gujarat Titans
Royal Challengers Bangalore,Gujarat Titans,HPCA Stadium,Royal Challengers Bangalore,bat,Gujarat Titans
Chennai Super Kings,Kolkata Knight Riders,Narendra Modi Stadium,Kolkata Knight Riders,field,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Ekana Cricket Stadium,Chennai Super Kings,bat,Mumbai Indians
Punjab Kings,Delhi Capitals,Rajiv Gandhi Intl. Stadium,Delhi Capitals,bat,Delhi Capitals
Mumbai Indians,Kolkata Knight Riders,HPCA Stadium,Mumbai Indians,field,Mumbai Indians
Gujarat Titans,Lucknow Super Giants,M. A. Chidambaram Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Delhi Capitals,Punjab Kings,Ekana Cricket Stadium,Punjab Kings,field,Punjab Kings
Mumbai Indians,Kolkata Knight Riders,Rajiv Gandhi Intl. Stadium,Mumbai Indians,field,Mumbai Indians
Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,Rajasthan Royals
Punjab Kings,Rajasthan Royals,Arun Jaitley Stadium,Punjab Kings,bat,Rajasthan Royals
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,bat,Rajasthan Royals
Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,Delhi Capitals
Rajasthan Royals,Delhi Capitals,M. A. Chidambaram Stadium,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Gujarat Titans,Arun Jaitley Stadium,Chennai Super Kings,bat,Gujarat Titans
Gujarat Titans,Kolkata Knight Riders,Sawai Mansingh Stadium,Gujarat Titans,field,Gujarat Titans
Rajasthan Royals,Royal Challengers Bangalore,Ekana Cricket Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Sunrisers Hyderabad,Mumbai Indians,Narendra Modi Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Kolkata Knight Riders,Chennai Super Kings,Narendra Modi Stadium,Chennai Super Kings,field,Chennai Super Kings
Rajasthan Royals,Mumbai Indians,Arun Jaitley Stadium,Mumbai Indians,bat,Mumbai Indians
Sunrisers Hyderabad,Punjab Kings,Narendra Modi Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Punjab Kings,Lucknow Super Giants,Arun Jaitley Stadium,Punjab Kings,bat,Punjab Kings
Sunrisers Hyderabad,Lucknow Super Giants,HPCA Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Gujarat Titans,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,bat,Mumbai Indians
Royal Challengers Bangalore,Gujarat Titans,M. A. Chidambaram Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Delhi Capitals,Lucknow Super Giants,Narendra Modi Stadium,Delhi Capitals,field,Lucknow Super Giants
Delhi Capitals,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals
Punjab Kings,Mumbai Indians,Sawai Mansingh Stadium,Punjab Kings,field,Punjab Kings
Sunrisers Hyderabad,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,Sunrisers Hyderabad
Lucknow Super Giants,Gujarat Titans,Ekana Cricket Stadium,Gujarat Titans,bat,Gujarat Titans
Sunrisers Hyderabad,Punjab Kings,HPCA Stadium,Punjab Kings,field,Punjab Kings
Royal Challengers Bangalore,Lucknow Super Giants,Ekana Cricket Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Chennai Super Kings,Mumbai Indians,HPCA Stadium,Mumbai Indians,bat,Chennai Super Kings
Gujarat Titans,Lucknow Super Giants,Narendra Modi Stadium,Gujarat Titans,bat,Gujarat Titans
Gujarat Titans,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,bat,Gujarat Titans
Punjab Kings,Kolkata Knight Riders,Narendra Modi Stadium,Punjab Kings,bat,Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Chennai Super Kings,field,Chennai Super Kings
Mumbai Indians,Punjab Kings,HPCA Stadium,Punjab Kings,field,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,Ekana Cricket Stadium,Kolkata Knight Riders,field,Rajasthan Royals
Chennai Super Kings,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,bat,Chennai Super Kings
Lucknow Super Giants,Delhi Capitals,Ekana Cricket Stadium,Delhi Capitals,field,Lucknow Super Giants
Gujarat Titans,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,Gujarat Titans
Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,field,Sunrisers Hyderabad
Royal Challengers Bangalore,Punjab Kings,Eden Gardens,Royal Challengers Bangalore,field,Punjab Kings
Royal Challengers Bangalore,Delhi Capitals,Narendra Modi Stadium,Royal Challengers Bangalore,bat,Delhi Capitals
Sunrisers Hyderabad,Punjab Kings,Narendra Modi Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,Narendra Modi Stadium,Mumbai Indians,bat,Mumbai Indians
Gujarat Titans,Lucknow Super Giants,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Gujarat Titans
Kolkata Knight Riders,Royal Challengers Bangalore,Sawai Mansingh Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Royal Challengers Bangalore,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,field,Royal Challengers Bangalore
Rajasthan Royals,Chennai Super Kings,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals
Rajasthan Royals,Chennai Super Kings,HPCA Stadium,Rajasthan Royals,bat,Chennai Super Kings
Punjab Kings,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals
Gujarat Titans,Sunrisers Hyderabad,Rajiv Gandhi Intl. Stadium,Gujarat Titans,bat,Gujarat Titans
Lucknow Super Giants,Kolkata Knight Riders,M. A. Chidambaram Stadium,Kolkata Knight Riders,field,Lucknow Super Giants
Chennai Super Kings,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,Gujarat Titans
Rajasthan Royals,Gujarat Titans,HPCA Stadium,Gujarat Titans,field,Gujarat Titans
Kolkata Knight Riders,Rajasthan Royals,Narendra Modi Stadium,Rajasthan Royals,field,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Rajiv Gandhi Intl. Stadium,Mumbai Indians,bat,Mumbai Indians
Royal Challengers Bangalore,Lucknow Super Giants,HPCA Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Mumbai Indians,bat,Rajasthan Royals
Delhi Capitals,Chennai Super Kings,Wankhede Stadium,Delhi Capitals,field,Chennai Super Kings
Chennai Super Kings,Punjab Kings,M. Chinnaswamy Stadium,Punjab Kings,field,Chennai Super Kings
Gujarat Titans,Punjab Kings,Eden Gardens,Punjab Kings,field,Punjab Kings
Gujarat Titans,Kolkata Knight Riders,M. A. Chidambaram Stadium,Gujarat Titans,bat,Gujarat Titans
Gujarat Titans,Punjab Kings,Ekana Cricket Stadium,Punjab Kings,field,Punjab Kings
Mumbai Indians,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,Punjab Kings
Gujarat Titans,Kolkata Knight Riders,HPCA Stadium,Gujarat Titans,bat,Kolkata Knight Riders
